Real, Imaginary 
32,512
16,256
8,128
4,64
2,32
1,16
4,48
2,24
1,12
4,36
2,18
1,9
4,27
13,81
40,243
121,729
364,2187
1093,6561
3280,19683
9841,59049
29524,177147
88573,531441
265720,1594323
797161,4782969
2391484,14348907
7174453,43046721
21523360,129140163
64570081,387420489
193710244,1162261467
581130733,3486784401
1743392200,10460353203
5230176601,31381059609
15690529804,94143178827
47071589413,282429536481
141214768240,847288609443
423644304721,2541865828329
1270932914164,7625597484987
3812798742493,22876792454961
11438396227480,68630377364883
34315188682441,205891132094649
102945566047324,617673396283947
308836698141973,1853020188851841
926510094425920,5559060566555523
2779530283277761,16677181699666569
8338590849833284,50031545098999707
25015772549499853,150094635296999121
75047317648499560,450283905890997363
225141952945498681,1350851717672992089
675425858836496044,4052555153018976267
2026277576509488133,12157665459056928801
6078832729528464400,18026252303461234787
18236498188585393201,17185268762964601129
17816006418337076372,14662318141474700155
16554531107592125885,7093466277004997233
12770105175357274424,2833654757305440083
1416827378652720041,8500964271916320249
4250482135958160124,7056148742039409131
12751446407874480373,2721702152408675777
1360851076204337888,8165106457226027331
4082553228613013665,6048575297968530377
12247659685839040996,18145725893905591131
18296234983807571373,17543689534297670161
17995216804003610888,15737580455473907251
17092162264591729433,10319253219002618521
14382998646356085068,12511015583298303947
6255507791649151973,639558602475808609
319779301237904304,1918675807427425827
959337903713712913,5756027422282277481
2878013711141138740,17268082266846832443
8634041133423416221,14910758653121394097
7455379326560697048,7838787811945079059
3919393905972539529,5069619362125685561
11758181717917618588,15208858086377056683
16827801080043304149,8733086111712066817
13589915092710809216,7752514261426648835
3876257130713324417,4810798710570394889
11628771392139973252,14432396131711184667
16439570102710368141,6403700247714450769
12425222160712001192,764356669433800691
382178334716900345,2293070008301402073
1146535004150701036,6879210024904206219
3439605012452103109,2190886001003067041
10318815037356309328,6572658003009201123
12509701038359376369,1271229935318051753
635614967659025876,3813689805954155259
1906844902977077629,11441069417862465777
5720534708931232888,15876464179877845715
17161604126793698665,10735904392214433913
14591324232961992764,13760969102933750123
6880484551466875061,4389419161382147137
2194709580691073568,13168257484146441411
6584128742073220705,2611284305020221001
1305642152510110500,7833852915060663003
3916926457530331501,5054814671472437393
11750779372590994504,15164444014417312179
16805594044063431897,8599843895832833305
13523293984771192460,7352787613788948299
3676393806894474149,3611618767657293281
11029181420683422448,10834856302971879843
14640800188340715729,14057824835206087913
7028912417603043956,5279986358199160507
2639993179099580253,15839959074597481521
7919979537298740760,10626389076373341331
5313194538186670665,13432423155410472377
15939583614560011996,3403781318812313899
10925262696260932757,10211343956436941697
14329044015073246656,12187287795601273475
6093643897800636737,18115119313094268809
18280931693401910212,17451869791863703195
17949306932786627405,15462121228172006353
16954432650940778984,9492875537096915827
13969809805403233721,10031882537581195865
5015941268790597932,11648903539034035979
15047823806371793797,16499966543392556321
8249983271696278160,12606411482758565731
6303205741379282865,925746300856593961
462873150428296980,2777238902569781883
1388619451284890941,8331716707709345649
4165858353854672824,6548406049418485331
12497575061564018473,1198474074545904377
599237037272952188,3595422223637713131
1797711111818856565,10786266670913139393
5393133335456569696,13912055939029866563
16179400006369709089,4842679669670496457
11644711871690024036,14528039009011489371
16487391541360520493,6690628879615364881
12568686476662458248,1625142565136543027
812571282568271513,4875427695409629081
2437713847704814540,14626283086228887243
7313141543114443621,6985361111267558497
3492680555633779248,2509339260093123875
10478041666901337745,7528017780279371625
12987380926994461620,4137309267128563259
2068654633564281629,12411927801385689777
6205963900692844888,342295256737966099
171147628368983049,1026885770213898297
513442885106949148,3080657310641694891
1540328655320847445,9241971931925084673
4620985965962542336,9279171722065702403
13862957897887627009,9390771092487555593
4695385546243777796,9725569203753115163
14086156638731333389,10729963537549793873
5364981768774896936,13743146538939830003
16094945306324690809,4335951469400386777
